Date,TSLA,UpperBand,MiddleBand,LowerBand,AAPL,SMA_AAPL,SMA_TSLA
2019-01-02,62.02399826049805,,,,38.382225036621094,,
2019-01-03,60.071998596191406,,,,34.55907440185547,,
2019-01-04,63.53799819946289,,,,36.03437805175781,,
2019-01-07,66.99199676513672,,,,35.95417022705078,,
2019-01-08,67.06999969482422,,,,36.63956832885742,,
2019-01-09,67.70600128173828,,,,37.261775970458984,,
2019-01-10,68.99400329589844,,,,37.38086700439453,,
2019-01-11,69.4520034790039,,,,37.01386260986328,,
2019-01-14,66.87999725341797,,,,36.457279205322266,,
2019-01-15,68.88600158691406,,,,37.20344543457031,,
2019-01-16,69.20999908447266,,,,37.6579475402832,,
2019-01-17,69.46199798583984,,,,37.88154602050781,,
2019-01-18,60.45199966430664,,,,38.1148796081543,,
2019-01-22,59.784000396728516,,,,37.25933837890625,,
2019-01-23,57.518001556396484,,,,37.4100341796875,,
2019-01-24,58.301998138427734,,,,37.1135139465332,,
2019-01-25,59.40800094604492,,,,38.34333801269531,,
2019-01-28,59.2760009765625,,,,37.98849105834961,,
2019-01-29,59.492000579833984,,,,37.59475326538086,,
2019-01-30,61.75400161743164,,,,40.16377639770508,,
2019-01-31,61.40399932861328,,,,40.4530029296875,,
2019-02-01,62.44200134277344,,,,40.472450256347656,,
2019-02-04,62.577999114990234,,,,41.62206268310547,,
2019-02-05,64.2699966430664,,,,42.334197998046875,,
2019-02-06,63.444000244140625,,,,42.348777770996094,,
2019-02-07,61.50199890136719,,,,41.54671859741211,,
2019-02-08,61.15999984741211,,,,41.59553909301758,,
2019-02-11,62.56800079345703,,,,41.356327056884766,,
2019-02-12,62.36199951171875,70.77285720856091,63.48539975484212,56.197942301123334,41.712703704833984,38.60648434956868,63.48539975484212
2019-02-13,61.63399887084961,70.54586547350216,63.32119979858398,56.096534123665805,41.539398193359375,38.71318143208821,63.32119979858398
2019-02-14,60.75400161743164,70.5481853666853,63.278866577148435,56.00954778761156,41.690731048583984,38.823464965820314,63.278866577148435
2019-02-15,61.57600021362305,70.52958159264972,63.32899996439616,56.1284183361426,41.59797668457031,39.05809504191081,63.32899996439616
2019-02-19,61.12799835205078,70.4917777809085,63.24866663614909,56.00555549138968,41.72246551513672,39.24769795735677,63.24866663614909
2019-02-20,60.512001037597656,70.20248391155974,63.032666778564455,55.86284964556917,41.990966796875,39.44892450968425,63.032666778564455
2019-02-21,58.24599838256836,69.9456020321756,62.738533401489256,55.531464770802906,41.75419616699219,39.619412104288735,62.738533401489256
2019-02-22,58.94200134277344,69.53386740240953,62.44640007019043,55.35893273797132,42.22040939331055,39.78469988505046,62.44640007019043
2019-02-25,59.75400161743164,68.85428595016734,62.13840001424153,55.422514078315736,42.5279541015625,39.95626945495606,62.13840001424153
2019-02-26,59.571998596191406,68.00710097359736,61.80906651814779,55.61103206269822,42.55237579345703,40.140886561075845,61.80906651814779
2019-02-27,62.948001861572266,67.60179063385615,61.67800000508626,55.754209376316375,42.68417739868164,40.348449834187825,61.67800000508626
2019-02-28,63.97600173950195,66.87725092613573,61.51433334350586,56.151415760875985,42.26434326171875,40.51714642842611,61.51433334350586
2019-03-01,58.95800018310547,65.7843929900125,61.17260004679362,56.56080710357474,42.708595275878906,40.68550135294596,61.17260004679362
2019-03-04,57.071998596191406,64.45641853175388,60.75960006713867,57.06278160252346,42.923397064208984,40.85356305440267,60.75960006713867
2019-03-05,55.30799865722656,64.77130307018486,60.58813336690267,56.40496366362047,42.84528350830078,41.011243184407554,60.58813336690267
2019-03-06,55.24800109863281,65.03296581794241,60.43693339029948,55.84090096265654,42.59874725341797,41.18922348022461,60.43693339029948
2019-03-07,55.31800079345703,65.20712946098202,60.36360003153483,55.52007060208764,42.10568618774414,41.3457452138265,60.36360003153483
2019-03-08,56.827999114990234,65.26927825145326,60.31446673075358,55.3596552100539,42.205772399902344,41.51548716227214,60.31446673075358
2019-03-11,58.183998107910156,65.2775778523201,60.27366663614909,55.26975541997807,43.66786193847656,41.692971293131514,60.27366663614909
2019-03-12,56.672000885009766,65.3449552731994,60.18686663309733,55.02877799299526,44.15849685668945,41.89863815307617,60.18686663309733
2019-03-13,57.79199981689453,65.35450599328,60.13019994099935,54.90589388871869,44.35377502441406,42.12393887837728,60.13019994099935
2019-03-14,57.992000579833984,65.24774707408694,60.004799906412764,54.761852738738575,44.84682846069336,42.28004061381022,60.004799906412764
2019-03-15,55.08599853515625,65.29656287895874,59.79419987996419,54.29183688096963,45.430206298828125,42.44594739278158,59.79419987996419
2019-03-18,53.89799880981445,65.31044557625914,59.509399795532225,53.70835401480531,45.893978118896484,42.62666498819987,59.509399795532225
2019-03-19,53.49399948120117,65.2773943225258,59.20659980773926,53.13580529295273,45.53028869628906,42.75693918863932,59.20659980773926
2019-03-20,54.720001220703125,64.86444817550782,58.88826662699382,52.91208507847981,45.92815399169922,42.87673772176107,58.88826662699382
2019-03-21,54.80400085449219,64.50279483693807,58.60026664733887,52.69773845773968,47.61970138549805,43.0524351755778,58.60026664733887
2019-03-22,52.90599822998047,64.454747263649,58.31373329162598,52.17271931960296,46.633575439453125,43.2219970703125,58.31373329162598
2019-03-25,52.08399963378906,64.44862127768442,58.011199951171875,51.573778624659326,46.06972885131836,43.37113672892253,58.011199951171875
2019-03-26,53.55400085449219,64.11069925923387,57.710733286539714,51.31076731384556,45.593746185302734,43.512384033203126,57.710733286539714
2019-03-27,54.965999603271484,63.696082051780834,57.464199956258135,51.232317860735435,46.003814697265625,43.65542106628418,57.464199956258135
