Date,AAPL,TSLA,SMA_AAPL,SMA_TSLA
2019-01-02,38.38222885131836,62.02399826049805,,
2019-01-03,34.559078216552734,60.071998596191406,,
2019-01-04,36.03437042236328,63.53799819946289,,
2019-01-07,35.95417022705078,66.99199676513672,,
2019-01-08,36.639564514160156,67.06999969482422,,
2019-01-09,37.26177215576172,67.70600128173828,,
2019-01-10,37.38086700439453,68.99400329589844,,
2019-01-11,37.01386260986328,69.4520034790039,,
2019-01-14,36.4572868347168,66.87999725341797,,
2019-01-15,37.20344161987305,68.88600158691406,,
2019-01-16,37.65793991088867,69.20999908447266,,
2019-01-17,37.88154220581055,69.46199798583984,,
2019-01-18,38.114871978759766,60.45199966430664,,
2019-01-22,37.25934600830078,59.784000396728516,,
2019-01-23,37.410030364990234,57.518001556396484,,
2019-01-24,37.11351776123047,58.301998138427734,,
2019-01-25,38.34333038330078,59.40800094604492,,
2019-01-28,37.98849105834961,59.2760009765625,,
2019-01-29,37.59475326538086,59.492000579833984,,
2019-01-30,40.16376876831055,61.75400161743164,,
2019-01-31,40.453006744384766,61.40399932861328,,
2019-02-01,40.472450256347656,62.44200134277344,,
2019-02-04,41.6220588684082,62.577999114990234,,
2019-02-05,42.334197998046875,64.2699966430664,,
2019-02-06,42.348777770996094,63.444000244140625,,
2019-02-07,41.54671859741211,61.50199890136719,,
2019-02-08,41.59553527832031,61.15999984741211,,
2019-02-11,41.356327056884766,62.56800079345703,,
2019-02-12,41.71270751953125,62.36199951171875,38.60648307800293,63.48539975484212
2019-02-13,41.53939437866211,61.63399887084961,38.71318028767904,63.32119979858398
2019-02-14,41.690738677978516,60.75400161743164,38.823463948567706,63.278866577148435
2019-02-15,41.59797286987305,61.57600021362305,39.05809377034505,63.32899996439616
2019-02-19,41.72246551513672,61.12799835205078,39.24769694010417,63.24866663614909
2019-02-20,41.990966796875,60.512001037597656,39.44892349243164,63.032666778564455
2019-02-21,41.75419616699219,58.24599838256836,39.61941121419271,62.738533401489256
2019-02-22,42.22041702270508,58.94200134277344,39.78469937642415,62.44640007019043
2019-02-25,42.5279655456543,59.75400161743164,39.95626932779948,62.13840001424153
2019-02-26,42.55237579345703,59.571998596191406,40.14088643391927,61.80906651814779
2019-02-27,42.68418502807617,62.948001861572266,40.34844970703125,61.67800000508626
2019-02-28,42.26435089111328,63.97600173950195,40.51714668273926,61.51433334350586
2019-03-01,42.70859909057617,58.95800018310547,40.68550198872884,61.17260004679362
2019-03-04,42.92338943481445,57.071998596191406,40.85356356302897,60.75960006713867
2019-03-05,42.84527587890625,55.30799865722656,41.011243693033855,60.58813336690267
2019-03-06,42.5987548828125,55.24800109863281,41.18922398885091,60.43693339029948
2019-03-07,42.105690002441406,55.31800079345703,41.34574597676595,60.36360003153483
2019-03-08,42.20576477050781,56.827999114990234,41.51548754374186,60.31446673075358
2019-03-11,43.66787338256836,58.183998107910156,41.692972310384114,60.27366663614909
2019-03-12,44.15849685668945,56.672000885009766,41.89863917032878,60.18686663309733
2019-03-13,44.353763580322266,57.79199981689453,42.123939514160156,60.13019994099935
2019-03-14,44.84682083129883,57.992000579833984,42.2800412495931,60.004799906412764
2019-03-15,45.43020248413086,55.08599853515625,42.4459477742513,59.79419987996419
2019-03-18,45.89398193359375,53.89799880981445,42.62666549682617,59.509399795532225
2019-03-19,45.53028869628906,53.49399948120117,42.7569398244222,59.20659980773926
2019-03-20,45.92815399169922,54.720001220703125,42.87673835754394,58.88826662699382
2019-03-21,47.61970138549805,54.80400085449219,43.052435811360674,58.60026664733887
2019-03-22,46.633575439453125,52.90599822998047,43.22199770609538,58.31373329162598
2019-03-25,46.06971740722656,52.08399963378906,43.371137110392254,58.011199951171875
2019-03-26,45.593746185302734,53.55400085449219,43.51238441467285,57.710733286539714
2019-03-27,46.003822326660156,54.965999603271484,43.655421574910484,57.464199956258135
2019-03-28,46.064842224121094,55.7239990234375,43.806269836425784,57.2671999613444
2019-03-29,46.365074157714844,55.97200012207031,43.96208101908366,57.10779991149902
2019-04-01,46.67995834350586,57.83599853515625,44.13148053487142,56.983133188883464
2019-04-02,47.358524322509766,57.17599868774414,44.319349161783855,56.85139986673991
2019-04-03,47.683170318603516,58.36199951171875,44.5090892791748,56.779733149210614
2019-04-04,47.766151428222656,53.555999755859375,44.70948778788249,56.623399861653645
2019-04-05,48.085914611816406,54.992000579833984,44.9050043741862,56.491733169555665
2019-04-08,48.84260559082031,54.63999938964844,45.11549237569173,56.321266428629556
2019-04-09,48.69614791870117,54.46200180053711,45.32028477986653,56.150933202107744
2019-04-10,48.96952438354492,55.21200180053711,45.5297960917155,55.893066533406575
2019-04-11,48.561893463134766,53.683998107910156,45.73971417744954,55.54999974568685
2019-04-12,48.5423583984375,53.540000915527344,45.934172821044925,55.36939977010091
2019-04-15,48.63023376464844,53.2760009765625,46.12440096537272,55.24286651611328
2019-04-16,48.6351203918457,54.672000885009766,46.317395782470705,55.22166659037272
2019-04-17,49.58219528198242,54.24599838256836,46.5501771291097,55.18826649983724
2019-04-18,49.76038360595703,54.652000427246094,46.80533358256022,55.16606648763021
2019-04-22,49.923919677734375,52.54999923706055,47.062605412801105,55.02346649169922
2019-04-23,50.64399337768555,52.779998779296875,47.29514274597168,54.84333318074544
2019-04-24,50.56588363647461,51.731998443603516,47.50872230529785,54.67866643269857
2019-04-25,50.106990814208984,49.5260009765625,47.70049654642741,54.403133138020834
2019-04-26,49.86777877807617,47.02799987792969,47.86786181131999,54.037666447957356
2019-04-29,49.94344711303711,48.29399871826172,48.018303298950194,53.81126645406087
